S No,PS No,LOCATION,Nature,Refined PS,Year,Election,Party,Alliance,Votes
452,216,நடு கஞ்சங்கொல்லை,வருவாய் கிராமம் ,229,2014,LS,PMK,PMK,264
453,217,ஆச்சாள்புரம்,வருவாய் கிராமம் ,230,2014,LS,PMK,PMK,197
454,218,எய்யலூர்,வருவாய் கிராமம் ,231,2014,LS,PMK,PMK,173
455,219,ரெட்டியூர்,வருவாய் கிராமம் ,232,2014,LS,PMK,PMK,119
456,220,ம.ஆதனூர்,வருவாய் கிராமம் ,233,2014,LS,PMK,PMK,74
457,221,ஆயங்குடி,வருவாய் கிராமம் ,234,2014,LS,PMK,PMK,19
458,222,ஆயங்குடி,வருவாய் கிராமம் ,235,2014,LS,PMK,PMK,4
459,223,ஆயங்குடி,வருவாய் கிராமம் ,236,2014,LS,PMK,PMK,56
460,224,குணவாசல்,வருவாய் கிராமம் ,237,2014,LS,PMK,PMK,49
461,225,குணவாசல்,வருவாய் கிராமம் ,238,2014,LS,PMK,PMK,279
462,226,ஓமாம்புலியூர்,வருவாய் கிராமம் ,239,2014,LS,PMK,PMK,102
463,227,ஓமாம்புலியூர்,வருவாய் கிராமம் ,240,2014,LS,PMK,PMK,94
464,228,முட்டம்,வருவாய் கிராமம் ,241,2014,LS,PMK,PMK,65
465,229,முட்டம்,வருவாய் கிராமம் ,242,2014,LS,PMK,PMK,90
466,230,கருப்பேரி,வருவாய் கிராமம் ,243,2014,LS,PMK,PMK,307
467,231,கானாட்டாம்புலியூர்,வருவாய் கிராமம் ,244,2014,LS,PMK,PMK,47
468,232,ஆழங்காத்தான்,வருவாய் கிராமம் ,246,2014,LS,PMK,PMK,242
469,233,ம.புளியங்குடி,வருவாய் கிராமம் ,247,2014,LS,PMK,PMK,471
470,234,ம.அரசூர்,வருவாய் கிராமம் ,248,2014,LS,PMK,PMK,219
471,235,வெள்ளூர்,வருவாய் கிராமம் ,249,2014,LS,PMK,PMK,325
472,236,சி.அரசூர்,வருவாய் கிராமம் ,250,2014,LS,PMK,PMK,116
473,1,ஆனந்தகுடி,வருவாய் கிராமம் ,1,2014,LS,VCK,DMK+,103
474,2,கொக்கரசன்பேட்டை,வருவாய் கிராமம் ,2,2014,LS,VCK,DMK+,303
475,3,மதகளிர் மாணிக்கம்,வருவாய் கிராமம் ,3,2014,LS,VCK,DMK+,200
476,4,எசனூர்,வருவாய் கிராமம் ,4,2014,LS,VCK,DMK+,187
477,5,குணமங்கலம்,வருவாய் கிராமம் ,5,2014,LS,VCK,DMK+,365
478,6,குணமங்கலம்,வருவாய் கிராமம் ,6,2014,LS,VCK,DMK+,109
479,7,குணமங்கலம்,வருவாய் கிராமம் ,7,2014,LS,VCK,DMK+,11
480,8,கள்ளிப்பாடி,வருவாய் கிராமம் ,8,2014,LS,VCK,DMK+,249
481,9,ஸ்ரீபுத்தூர்,வருவாய் கிராமம் ,9,2014,LS,VCK,DMK+,260
482,10,அம்புஜவல்லி பேட்டை,வருவாய் கிராமம் ,10,2014,LS,VCK,DMK+,227
483,11,நகரப்பாடி,வருவாய் கிராமம் ,11,2014,LS,VCK,DMK+,280
484,12,ஸ்ரீ நெடுஞ்சேரி,வருவாய் கிராமம் ,12,2014,LS,VCK,DMK+,317
485,13,ஸ்ரீ நெடுஞ்சேரி,வருவாய் கிராமம் ,13,2014,LS,VCK,DMK+,457
486,14,கூடலையாத்தூர்,வருவாய் கிராமம் ,14,2014,LS,VCK,DMK+,188
487,15,காவாலக்குடி,வருவாய் கிராமம் ,15,2014,LS,VCK,DMK+,227
488,16,காவாலக்குடி,வருவாய் கிராமம் ,16,2014,LS,VCK,DMK+,49
489,17,முடிகண்டநல்லூர்,வருவாய் கிராமம் ,17,2014,LS,VCK,DMK+,95
490,18,முடிகண்டநல்லூர்,வருவாய் கிராமம் ,18,2014,LS,VCK,DMK+,681
491,19,மழவராயநல்லூர்,வருவாய் கிராமம் ,19,2014,LS,VCK,DMK+,243
492,20,மழவராயநல்லூர்,வருவாய் கிராமம் ,20,2014,LS,VCK,DMK+,323
493,21,குமாரக்குடி,வருவாய் கிராமம் ,22,2014,LS,VCK,DMK+,737
494,22,கோதண்டவிளாகம்,வருவாய் கிராமம் ,23,2014,LS,VCK,DMK+,405
495,23,நங்குடி,வருவாய் கிராமம் ,25,2014,LS,VCK,DMK+,27
496,24,விழுபெருந்துறை,வருவாய் கிராமம் ,26,2014,LS,VCK,DMK+,298
497,25,வட்டத்தூர்,வருவாய் கிராமம் ,27,2014,LS,VCK,DMK+,28
498,26,வட்டத்தூர்,வருவாய் கிராமம் ,28,2014,LS,VCK,DMK+,168
499,27,நந்தீஸ்வரமங்கலம்,வருவாய் கிராமம் ,29,2014,LS,VCK,DMK+,177
500,28,நந்தீஸ்வரமங்கலம்,வருவாய் கிராமம் ,30,2014,LS,VCK,DMK+,153
501,29,வலசக்காடு,வருவாய் கிராமம் ,31,2014,LS,VCK,DMK+,150
502,30,வலசக்காடு,வருவாய் கிராமம் ,32,2014,LS,VCK,DMK+,330
503,31,பேரூர்,வருவாய் கிராமம் ,33,2014,LS,VCK,DMK+,438
504,32,பேரூர்,வருவாய் கிராமம் ,34,2014,LS,VCK,DMK+,82
505,33,கானூர்,வருவாய் கிராமம் ,35,2014,LS,VCK,DMK+,51
506,34,கானூர்,வருவாய் கிராமம் ,36,2014,LS,VCK,DMK+,291
507,35,சாத்தவட்டம்,வருவாய் கிராமம் ,37,2014,LS,VCK,DMK+,150
508,36,தேத்தாம்பட்டு,வருவாய் கிராமம் ,38,2014,LS,VCK,DMK+,343
509,37,தேத்தாம்பட்டு,வருவாய் கிராமம் ,39,2014,LS,VCK,DMK+,63
510,38,ஸ்ரீமுஷ்ணம்,வருவாய் கிராமம் ,40,2014,LS,VCK,DMK+,251
511,39,ஸ்ரீமுஷ்ணம்,ஸ்ரீமுஷ்ணம் பேரூராட்சி ,41,2014,LS,VCK,DMK+,173
512,40,ஸ்ரீமுஷ்ணம்,ஸ்ரீமுஷ்ணம் பேரூராட்சி ,42,2014,LS,VCK,DMK+,106
513,41,ஸ்ரீமுஷ்ணம்,ஸ்ரீமுஷ்ணம் பேரூராட்சி ,43,2014,LS,VCK,DMK+,71
514,42,ஸ்ரீமுஷ்ணம்,ஸ்ரீமுஷ்ணம் பேரூராட்சி ,44,2014,LS,VCK,DMK+,157
515,43,ஸ்ரீமுஷ்ணம்,ஸ்ரீமுஷ்ணம் பேரூராட்சி ,45,2014,LS,VCK,DMK+,97
516,44,ஸ்ரீ புதுக்குப்பம்,ஸ்ரீ புதுக்குப்பம் பேரூராட்சி,47,2014,LS,VCK,DMK+,423
517,45,ஸ்ரீமுஷ்ணம்,ஸ்ரீமுஷ்ணம் பேரூராட்சி ,48,2014,LS,VCK,DMK+,115
518,46,ஸ்ரீமுஷ்ணம்,ஸ்ரீமுஷ்ணம் பேரூராட்சி ,49,2014,LS,VCK,DMK+,89
519,47,ஸ்ரீமுஷ்ணம்,ஸ்ரீமுஷ்ணம் பேரூராட்சி ,50,2014,LS,VCK,DMK+,131
520,48,ஸ்ரீமுஷ்ணம்,ஸ்ரீமுஷ்ணம் பேரூராட்சி ,51,2014,LS,VCK,DMK+,95
521,49,ஸ்ரீமுஷ்ணம்,ஸ்ரீமுஷ்ணம் பேரூராட்சி ,52,2014,LS,VCK,DMK+,123
522,50,மேல்புளியங்குடி,வருவாய் கிராமம் ,53,2014,LS,VCK,DMK+,156
523,51,மேல்புளியங்குடி,வருவாய் கிராமம் ,54,2014,LS,VCK,DMK+,128
524,52,ஸ்ரீ ஆதிவராகநல்லூர்,வருவாய் கிராமம் ,55,2014,LS,VCK,DMK+,219
525,53,ஸ்ரீ ஆதிவராகநல்லூர்,வருவாய் கிராமம் ,56,2014,LS,VCK,DMK+,70
526,54,ஸ்ரீ ஆதிவராகநல்லூர்,வருவாய் கிராமம் ,57,2014,LS,VCK,DMK+,26
527,55,நாச்சியார்பேட்டை,வருவாய் கிராமம் ,58,2014,LS,VCK,DMK+,239
528,56,கொழை,வருவாய் கிராமம் ,59,2014,LS,VCK,DMK+,31
529,57,கொழை,வருவாய் கிராமம் ,60,2014,LS,VCK,DMK+,31
530,58,கொழை,வருவாய் கிராமம் ,61,2014,LS,VCK,DMK+,138
531,59,கொழை,வருவாய் கிராமம் ,62,2014,LS,VCK,DMK+,52
532,60,வாளிஸ்பேட்டை,வருவாய் கிராமம் ,63,2014,LS,VCK,DMK+,255
533,61,ராமாபுரம்,வருவாய் கிராமம் ,65,2014,LS,VCK,DMK+,102
534,62,தண்டகாரன்குப்பம்,வருவாய் கிராமம் ,66,2014,LS,VCK,DMK+,57
535,63,பாளையங்கோட்டை,வருவாய் கிராமம் ,67,2014,LS,VCK,DMK+,76
536,64,பாளையங்கோட்டை,வருவாய் கிராமம் ,68,2014,LS,VCK,DMK+,32
537,65,பாளையங்கோட்டை,வருவாய் கிராமம் ,69,2014,LS,VCK,DMK+,120
538,66,பாளையங்கோட்டை,வருவாய் கிராமம் ,70,2014,LS,VCK,DMK+,82
539,67,வடக்குப்பாளையம்,வருவாய் கிராமம் ,71,2014,LS,VCK,DMK+,445
540,68,வடக்குப்பாளையம்,வருவாய் கிராமம் ,72,2014,LS,VCK,DMK+,369
541,69,வடக்குப்பாளையம்,வருவாய் கிராமம் ,73,2014,LS,VCK,DMK+,366
542,70,வடக்குப்பாளையம்,வருவாய் கிராமம் ,74,2014,LS,VCK,DMK+,292
543,71,சோழத்தரம்,வருவாய் கிராமம் ,75,2014,LS,VCK,DMK+,76
544,72,சோழத்தரம்,வருவாய் கிராமம் ,76,2014,LS,VCK,DMK+,63
545,73,சோழத்தரம்,வருவாய் கிராமம் ,77,2014,LS,VCK,DMK+,372
546,74,சோழத்தரம்,வருவாய் கிராமம் ,78,2014,LS,VCK,DMK+,210
547,75,சோழத்தரம்,வருவாய் கிராமம் ,79,2014,LS,VCK,DMK+,354
548,76,புடையூர்,வருவாய் கிராமம் ,80,2014,LS,VCK,DMK+,249
549,77,புடையூர்,வருவாய் கிராமம் ,81,2014,LS,VCK,DMK+,332
550,78,கலியமலை,வருவாய் கிராமம் ,82,2014,LS,VCK,DMK+,249
551,79,பூர்த்தங்குடி,வருவாய் கிராமம் ,83,2014,LS,VCK,DMK+,113
552,80,கந்தகுமாரன்,வருவாய் கிராமம் ,84,2014,LS,VCK,DMK+,294
553,81,ம. உத்தமசோழகன்,வருவாய் கிராமம் ,85,2014,LS,VCK,DMK+,157
554,82,கொள்ளுமேடு,வருவாய் கிராமம் ,86,2014,LS,VCK,DMK+,421
555,83,கொள்ளுமேடு,வருவாய் கிராமம் ,87,2014,LS,VCK,DMK+,260
556,84,இராயநல்லூர்,வருவாய் கிராமம் ,88,2014,LS,VCK,DMK+,266
557,85,ம. கொத்தங்குடி,வருவாய் கிராமம் ,89,2014,LS,VCK,DMK+,213
558,86,டி. புத்தூர்,வருவாய் கிராமம் ,90,2014,LS,VCK,DMK+,229
559,87,ஆட்கொண்டநத்தம்,வருவாய் கிராமம் ,91,2014,LS,VCK,DMK+,314
560,88,ஆட்கொண்டநத்தம்,வருவாய் கிராமம் ,92,2014,LS,VCK,DMK+,366
561,89,செட்டிக்கட்டளை,வருவாய் கிராமம் ,93,2014,LS,VCK,DMK+,453
562,90,வடமூர்,வருவாய் கிராமம் ,94,2014,LS,VCK,DMK+,291
563,91,பரிவிளாகம்,வருவாய் கிராமம் ,95,2014,LS,VCK,DMK+,405
564,92,தெம்மூர்,வருவாய் கிராமம் ,96,2014,LS,VCK,DMK+,229
565,93,தெம்மூர்,வருவாய் கிராமம் ,97,2014,LS,VCK,DMK+,298
566,94,கூடுவெளிச்சாவடி,வருவாய் கிராமம் ,98,2014,LS,VCK,DMK+,179
567,95,கூடுவெளி,வருவாய் கிராமம் ,99,2014,LS,VCK,DMK+,263
568,96,மெய்யாத்தூர்,வருவாய் கிராமம் ,100,2014,LS,VCK,DMK+,199
569,97,கீழக்கரை,வருவாய் கிராமம் ,103,2014,LS,VCK,DMK+,213
570,98,நந்திமங்கலம்,வருவாய் கிராமம் ,104,2014,LS,VCK,DMK+,380
571,99,நளம்புத்தூர்,வருவாய் கிராமம் ,105,2014,LS,VCK,DMK+,147
572,100,அத்திப்பட்டு,வருவாய் கிராமம் ,106,2014,LS,VCK,DMK+,277
573,101,தெற்குமாங்குடி,வருவாய் கிராமம் ,107,2014,LS,VCK,DMK+,333
574,102,வடக்குமாங்குடி,வருவாய் கிராமம் ,108,2014,LS,VCK,DMK+,151
575,103,வடக்குமாங்குடி,வருவாய் கிராமம் ,109,2014,LS,VCK,DMK+,15
576,104,கருப்பூர்,வருவாய் கிராமம் ,110,2014,LS,VCK,DMK+,389
577,105,குமராட்சி,வருவாய் கிராமம் ,111,2014,LS,VCK,DMK+,325
578,106,குமராட்சி,வருவாய் கிராமம் ,112,2014,LS,VCK,DMK+,285
579,107,குமராட்சி,வருவாய் கிராமம் ,113,2014,LS,VCK,DMK+,34
580,108,குமராட்சி,வருவாய் கிராமம் ,114,2014,LS,VCK,DMK+,40
581,109,கிழவன்னியூர்,வருவாய் கிராமம் ,115,2014,LS,VCK,DMK+,234
582,110,மேலவன்னியூர்,வருவாய் கிராமம் ,116,2014,LS,VCK,DMK+,476
583,111,மேலவன்னியூர்,வருவாய் கிராமம் ,117,2014,LS,VCK,DMK+,466
584,112,சாட்டைமேடு,வருவாய் கிராமம் ,118,2014,LS,VCK,DMK+,180
585,113,எள்ளேரி,வருவாய் கிராமம் ,120,2014,LS,VCK,DMK+,312
586,114,எள்ளேரி,வருவாய் கிராமம் ,122,2014,LS,VCK,DMK+,433
587,115,நெய்வாசல்,வருவாய் கிராமம் ,123,2014,LS,VCK,DMK+,355
588,116,நெய்வாசல்,வருவாய் கிராமம் ,124,2014,LS,VCK,DMK+,395
589,117,மானியம் ஆடூர்,வருவாய் கிராமம் ,125,2014,LS,VCK,DMK+,345
590,118,மானியம் ஆடூர்,வருவாய் கிராமம் ,126,2014,LS,VCK,DMK+,261
591,119,நத்தமலை,வருவாய் கிராமம் ,127,2014,LS,VCK,DMK+,129
592,120,திருச்சின்னபுரம்,வருவாய் கிராமம் ,128,2014,LS,VCK,DMK+,327
593,121,கொல்லிமலை கீழ்பாதி,கொல்லிமலை கீழ்பாதி பேரூராட்சி ,129,2014,LS,VCK,DMK+,398
594,122,கொல்லிமலை கீழ்பாதி,கொல்லிமலை கீழ்பாதி பேரூராட்சி ,130,2014,LS,VCK,DMK+,464
595,123,கொல்லிமலை கீழ்பாதி,கொல்லிமலை கீழ்பாதி பேரூராட்சி ,131,2014,LS,VCK,DMK+,371
596,124,கொல்லிமலை கீழ்பாதி,லால்பேட்டை பேரூராட்சி ,132,2014,LS,VCK,DMK+,433
597,125,லால்பேட்டை,லால்பேட்டை பேரூராட்சி ,133,2014,LS,VCK,DMK+,223
598,126,லால்பேட்டை,லால்பேட்டை பேரூராட்சி ,134,2014,LS,VCK,DMK+,343
599,127,லால்பேட்டை,லால்பேட்டை பேரூராட்சி ,135,2014,LS,VCK,DMK+,409
600,128,லால்பேட்டை,லால்பேட்டை பேரூராட்சி ,136,2014,LS,VCK,DMK+,335
601,129,லால்பேட்டை,லால்பேட்டை பேரூராட்சி ,137,2014,LS,VCK,DMK+,429
602,130,லால்பேட்டை,லால்பேட்டை பேரூராட்சி ,138,2014,LS,VCK,DMK+,427
603,131,லால்பேட்டை,லால்பேட்டை பேரூராட்சி ,140,2014,LS,VCK,DMK+,485
604,132,ருத்தரசோலை,வருவாய் கிராமம் ,141,2014,LS,VCK,DMK+,197
605,133,சித்தமல்லி,வருவாய் கிராமம் ,142,2014,LS,VCK,DMK+,210
606,134,அகரபுத்தூர்,வருவாய் கிராமம் ,143,2014,LS,VCK,DMK+,278
607,135,அகரபுத்தூர்,வருவாய் கிராமம் ,144,2014,LS,VCK,DMK+,190
608,136,வானமாதேவி,வருவாய் கிராமம் ,145,2014,LS,VCK,DMK+,319
609,137,வானமாதேவி,வருவாய் கிராமம் ,146,2014,LS,VCK,DMK+,327
610,138,மாமங்கலம்,வருவாய் கிராமம் ,147,2014,LS,VCK,DMK+,109
611,139,மாமங்கலம்,வருவாய் கிராமம் ,148,2014,LS,VCK,DMK+,250
612,140,ஆண்டிபாளையம்,வருவாய் கிராமம் ,149,2014,LS,VCK,DMK+,234
613,141,கொண்டசமுத்திரம்,வருவாய் கிராமம் ,150,2014,LS,VCK,DMK+,550
614,142,கொண்டசமுத்திரம்,வருவாய் கிராமம் ,151,2014,LS,VCK,DMK+,155
615,143,அறந்தாங்கி,வருவாய் கிராமம் ,152,2014,LS,VCK,DMK+,65
616,144,அறந்தாங்கி,வருவாய் கிராமம் ,153,2014,LS,VCK,DMK+,70
617,145,அறந்தாங்கி,வருவாய் கிராமம் ,154,2014,LS,VCK,DMK+,419
618,146,கருணாகரநல்லூர்,வருவாய் கிராமம் ,155,2014,LS,VCK,DMK+,141
619,147,கருணாகரநல்லூர்,வருவாய் கிராமம் ,156,2014,LS,VCK,DMK+,184
620,148,நாட்டார்மங்கலம்,வருவாய் கிராமம் ,157,2014,LS,VCK,DMK+,104
621,149,நாட்டார்மங்கலம்,வருவாய் கிராமம் ,158,2014,LS,VCK,DMK+,136
622,150,மேல பழஞ்சநல்லூர்,வருவாய் கிராமம் ,159,2014,LS,VCK,DMK+,59
623,151,மேல பழஞ்சநல்லூர்,வருவாய் கிராமம் ,160,2014,LS,VCK,DMK+,310
624,152,மேல பழஞ்சநல்லூர்,வருவாய் கிராமம் ,161,2014,LS,VCK,DMK+,22
625,153,வீராணநல்லூர்,வருவாய் கிராமம் ,162,2014,LS,VCK,DMK+,326
626,154,காட்டுமன்னார் கோயில்,காட்டுமன்னார் கோயில் பேரூராட்சி ,163,2014,LS,VCK,DMK+,169
627,155,காட்டுமன்னார் கோயில்,காட்டுமன்னார் கோயில் பேரூராட்சி ,164,2014,LS,VCK,DMK+,199
628,156,காட்டுமன்னார் கோயில்,காட்டுமன்னார் கோயில் பேரூராட்சி ,165,2014,LS,VCK,DMK+,138
629,157,காட்டுமன்னார் கோயில்,காட்டுமன்னார் கோயில் பேரூராட்சி ,166,2014,LS,VCK,DMK+,184
630,158,காட்டுமன்னார் கோயில்,காட்டுமன்னார் கோயில் பேரூராட்சி ,167,2014,LS,VCK,DMK+,328
631,159,காட்டுமன்னார் கோயில்,காட்டுமன்னார் கோயில் பேரூராட்சி ,168,2014,LS,VCK,DMK+,223
632,160,உடையார்குடி,உடையார்குடி பேரூராட்சி ,169,2014,LS,VCK,DMK+,124
633,161,உடையார்குடி,உடையார்குடி பேரூராட்சி ,170,2014,LS,VCK,DMK+,162
634,162,உடையார்குடி,உடையார்குடி பேரூராட்சி ,171,2014,LS,VCK,DMK+,135
635,163,உடையார்குடி,உடையார்குடி பேரூராட்சி ,172,2014,LS,VCK,DMK+,121
636,164,உடையார்குடி,உடையார்குடி பேரூராட்சி ,173,2014,LS,VCK,DMK+,229
637,165,உடையார்குடி,உடையார்குடி பேரூராட்சி ,174,2014,LS,VCK,DMK+,381
638,166,உடையார்குடி,உடையார்குடி பேரூராட்சி ,175,2014,LS,VCK,DMK+,371
639,167,உடையார்குடி,உடையார்குடி பேரூராட்சி ,176,2014,LS,VCK,DMK+,189
640,168,உடையார்குடி,உடையார்குடி பேரூராட்சி ,177,2014,LS,VCK,DMK+,218
641,169,உடையார்குடி,உடையார்குடி பேரூராட்சி ,178,2014,LS,VCK,DMK+,513
642,170,திருமூலஸ்தானம்,திருமூலஸ்தானம் பேரூராட்சி ,179,2014,LS,VCK,DMK+,296
643,171,திருமூலஸ்தானம்,திருமூலஸ்தானம் பேரூராட்சி ,180,2014,LS,VCK,DMK+,305
644,172,ராஜேந்திரசோழகன்,ராஜேந்திரசோழகன் பேரூராட்சி ,181,2014,LS,VCK,DMK+,197
645,173,ராஜேந்திரசோழகன்,ராஜேந்திரசோழகன் பேரூராட்சி ,182,2014,LS,VCK,DMK+,200
646,174,ம. கொளக்குடி,வருவாய் கிராமம் ,184,2014,LS,VCK,DMK+,510
647,175,ம. கொளக்குடி,வருவாய் கிராமம் ,185,2014,LS,VCK,DMK+,512
648,176,ம. கொளக்குடி,வருவாய் கிராமம் ,186,2014,LS,VCK,DMK+,566
649,177,ம. கொளக்குடி,வருவாய் கிராமம் ,187,2014,LS,VCK,DMK+,174
650,178,சர்வராஜன் பேட்டை,வருவாய் கிராமம் ,188,2014,LS,VCK,DMK+,130
651,179,திருநாரையூர்,வருவாய் கிராமம் ,189,2014,LS,VCK,DMK+,378
652,180,திருநாரையூர்,வருவாய் கிராமம் ,190,2014,LS,VCK,DMK+,68
653,181,வீரநத்தம்,வருவாய் கிராமம் ,191,2014,LS,VCK,DMK+,261
654,182,சிறகிழந்தநல்லூர்,வருவாய் கிராமம் ,192,2014,LS,VCK,DMK+,405
655,183,வெண்ணையூர்,வருவாய் கிராமம் ,193,2014,LS,VCK,DMK+,167
656,184,வெண்ணையூர்,வருவாய் கிராமம் ,194,2014,LS,VCK,DMK+,296
657,185,மேலப்பருத்திக்குடி,வருவாய் கிராமம் ,195,2014,LS,VCK,DMK+,206
658,186,கீழப்பருத்திக்குடி,வருவாய் கிராமம் ,196,2014,LS,VCK,DMK+,166
659,187,முள்ளங்குடி,வருவாய் கிராமம் ,197,2014,LS,VCK,DMK+,335
660,188,கீழ்அதங்குடி,வருவாய் கிராமம் ,198,2014,LS,VCK,DMK+,247
661,189,எடையார்,வருவாய் கிராமம் ,199,2014,LS,VCK,DMK+,162
662,190,எடையார்,வருவாய் கிராமம் ,200,2014,LS,VCK,DMK+,205
663,191,ம.உடையூர்,வருவாய் கிராமம் ,201,2014,LS,VCK,DMK+,255
664,192,ம.உடையூர்,வருவாய் கிராமம் ,202,2014,LS,VCK,DMK+,269
665,193,மேல்ராதாமூர்,வருவாய் கிராமம் ,204,2014,LS,VCK,DMK+,462
666,194,அழிஞ்சிமங்கலம்,வருவாய் கிராமம் ,205,2014,LS,VCK,DMK+,314
667,195,மோவூர்,வருவாய் கிராமம் ,206,2014,LS,VCK,DMK+,151
668,196,மோவூர்,வருவாய் கிராமம் ,207,2014,LS,VCK,DMK+,280
669,197,செட்டித்தாங்கல்,வருவாய் கிராமம் ,209,2014,LS,VCK,DMK+,254
670,198,கண்டமங்கலம்,வருவாய் கிராமம் ,210,2014,LS,VCK,DMK+,212
671,199,கண்டமங்கலம்,வருவாய் கிராமம் ,211,2014,LS,VCK,DMK+,154
672,200,குருங்குடி,வருவாய் கிராமம் ,212,2014,LS,VCK,DMK+,242
673,201,குருங்குடி,வருவாய் கிராமம் ,213,2014,LS,VCK,DMK+,63
674,202,வீரானந்தபுரம்,வருவாய் கிராமம் ,214,2014,LS,VCK,DMK+,131
675,203,வீரானந்தபுரம்,வருவாய் கிராமம் ,215,2014,LS,VCK,DMK+,177
676,204,வீரானந்தபுரம்,வருவாய் கிராமம் ,216,2014,LS,VCK,DMK+,215
677,205,மேலக்கடம்பூர்,வருவாய் கிராமம் ,217,2014,LS,VCK,DMK+,248
678,206,கீழக்கடம்பூர்,வருவாய் கிராமம் ,218,2014,LS,VCK,DMK+,379
679,207,கீழக்கடம்பூர்,வருவாய் கிராமம் ,219,2014,LS,VCK,DMK+,152
680,208,தொரப்பு,வருவாய் கிராமம் ,220,2014,LS,VCK,DMK+,177
681,209,தொரப்பு,வருவாய் கிராமம் ,221,2014,LS,VCK,DMK+,411
682,210,ஷண்டன்,வருவாய் கிராமம் ,222,2014,LS,VCK,DMK+,240
683,211,டி.அருண்மொழிதேவன்,வருவாய் கிராமம் ,223,2014,LS,VCK,DMK+,305
684,212,ஈச்சம்பூண்டி,வருவாய் கிராமம் ,224,2014,LS,VCK,DMK+,357
685,213,சிறுகாட்டூர்,வருவாய் கிராமம் ,225,2014,LS,VCK,DMK+,370
686,214,கஞ்சங்கொல்லை,வருவாய் கிராமம் ,227,2014,LS,VCK,DMK+,110
687,215,கஞ்சங்கொல்லை,வருவாய் கிராமம் ,228,2014,LS,VCK,DMK+,115
688,216,நடு கஞ்சங்கொல்லை,வருவாய் கிராமம் ,229,2014,LS,VCK,DMK+,245
689,217,ஆச்சாள்புரம்,வருவாய் கிராமம் ,230,2014,LS,VCK,DMK+,325
690,218,எய்யலூர்,வருவாய் கிராமம் ,231,2014,LS,VCK,DMK+,303
691,219,ரெட்டியூர்,வருவாய் கிராமம் ,232,2014,LS,VCK,DMK+,455
692,220,ம.ஆதனூர்,வருவாய் கிராமம் ,233,2014,LS,VCK,DMK+,329
693,221,ஆயங்குடி,வருவாய் கிராமம் ,234,2014,LS,VCK,DMK+,388
694,222,ஆயங்குடி,வருவாய் கிராமம் ,235,2014,LS,VCK,DMK+,289
695,223,ஆயங்குடி,வருவாய் கிராமம் ,236,2014,LS,VCK,DMK+,568
696,224,குணவாசல்,வருவாய் கிராமம் ,237,2014,LS,VCK,DMK+,272
697,225,குணவாசல்,வருவாய் கிராமம் ,238,2014,LS,VCK,DMK+,155
698,226,ஓமாம்புலியூர்,வருவாய் கிராமம் ,239,2014,LS,VCK,DMK+,195
699,227,ஓமாம்புலியூர்,வருவாய் கிராமம் ,240,2014,LS,VCK,DMK+,223
700,228,முட்டம்,வருவாய் கிராமம் ,241,2014,LS,VCK,DMK+,621
701,229,முட்டம்,வருவாய் கிராமம் ,242,2014,LS,VCK,DMK+,456
702,230,கருப்பேரி,வருவாய் கிராமம் ,243,2014,LS,VCK,DMK+,287
703,231,கானாட்டாம்புலியூர்,வருவாய் கிராமம் ,244,2014,LS,VCK,DMK+,361
704,232,ஆழங்காத்தான்,வருவாய் கிராமம் ,246,2014,LS,VCK,DMK+,282
705,233,ம.புளியங்குடி,வருவாய் கிராமம் ,247,2014,LS,VCK,DMK+,184
706,234,ம.அரசூர்,வருவாய் கிராமம் ,248,2014,LS,VCK,DMK+,340
707,235,வெள்ளூர்,வருவாய் கிராமம் ,249,2014,LS,VCK,DMK+,76
708,236,சி.அரசூர்,வருவாய் கிராமம் ,250,2014,LS,VCK,DMK+,216
945,1,ஆனந்தகுடி,வருவாய் கிராமம் ,1,2016,SE,BJP,BJP,4
946,2,கொக்கரசன்பேட்டை,வருவாய் கிராமம் ,2,2016,SE,BJP,BJP,2
947,3,மதகளிர் மாணிக்கம்,வருவாய் கிராமம் ,3,2016,SE,BJP,BJP,3
948,4,எசனூர்,வருவாய் கிராமம் ,4,2016,SE,BJP,BJP,3
949,5,குணமங்கலம்,வருவாய் கிராமம் ,5,2016,SE,BJP,BJP,1
950,6,குணமங்கலம்,வருவாய் கிராமம் ,6,2016,SE,BJP,BJP,5
951,7,குணமங்கலம்,வருவாய் கிராமம் ,7,2016,SE,BJP,BJP,0
952,8,கள்ளிப்பாடி,வருவாய் கிராமம் ,8,2016,SE,BJP,BJP,1
953,9,ஸ்ரீபுத்தூர்,வருவாய் கிராமம் ,9,2016,SE,BJP,BJP,6
954,10,அம்புஜவல்லி பேட்டை,வருவாய் கிராமம் ,10,2016,SE,BJP,BJP,9
955,11,நகரப்பாடி,வருவாய் கிராமம் ,11,2016,SE,BJP,BJP,1
956,12,ஸ்ரீ நெடுஞ்சேரி,வருவாய் கிராமம் ,12,2016,SE,BJP,BJP,3
957,13,ஸ்ரீ நெடுஞ்சேரி,வருவாய் கிராமம் ,13,2016,SE,BJP,BJP,3
958,14,கூடலையாத்தூர்,வருவாய் கிராமம் ,14,2016,SE,BJP,BJP,0
959,15,காவாலக்குடி,வருவாய் கிராமம் ,15,2016,SE,BJP,BJP,5
960,16,காவாலக்குடி,வருவாய் கிராமம் ,16,2016,SE,BJP,BJP,2
961,17,முடிகண்டநல்லூர்,வருவாய் கிராமம் ,17,2016,SE,BJP,BJP,4
